Document ID,boundingBoxUrl,cloudVideoUrl
nroPDRC7Z5rqxRT6GioE,https://firebasestorage.googleapis.com/v0/b/onform-ml-data-staging/apple-pose-data/nroPDRC7Z5rqxRT6GioE.json,https://firebasestorage.googleapis.com:443/v0/b/us-videos-staging/o/original%2FnroPDRC7Z5rqxRT6GioE.mp4?alt=media&token=cad18b91-d851-4600-a81b-7d2f3c8ff278
pMmPV3bqxBU6JecGBEJa,https://firebasestorage.googleapis.com/v0/b/onform-ml-data-staging/apple-pose-data/pMmPV3bqxBU6JecGBEJa.json,https://firebasestorage.googleapis.com:443/v0/b/us-videos-staging/o/original%2FpMmPV3bqxBU6JecGBEJa.mp4?alt=media&token=48dba0ff-2089-418f-8a1e-0ab109bac831
0jyqhQgMX4eYDiTXJR6v,https://firebasestorage.googleapis.com:443/v0/b/onform-ml-data-staging/o/apple-pose-data%2F0jyqhQgMX4eYDiTXJR6v.json?alt=media&token=02c48e9e-5898-4ce5-8bf9-2bfb0705aa9d,https://firebasestorage.googleapis.com:443/v0/b/us-videos-staging/o/original%2F0jyqhQgMX4eYDiTXJR6v.mp4?alt=media&token=b1bfce4c-2559-4db3-a55e-11c6ef14bd5e
0nSLEAGlPnlVlr3IqoJv,https://firebasestorage.googleapis.com:443/v0/b/onform-ml-data-staging/o/apple-pose-data%2F0nSLEAGlPnlVlr3IqoJv.json?alt=media&token=4ec09656-f74f-4991-8fa6-c607d6d6615b,https://firebasestorage.googleapis.com:443/v0/b/us-videos-staging/o/original%2F0nSLEAGlPnlVlr3IqoJv.mp4?alt=media&token=93e2bd18-6949-4327-8338-f966143b81fb
1MnHSQs8OBi5VrXXKymL,https://firebasestorage.googleapis.com:443/v0/b/onform-ml-data-staging/o/apple-pose-data%2F1MnHSQs8OBi5VrXXKymL.json?alt=media&token=4b1382fc-341c-4e86-9fd1-bcd1102ed9f2,https://firebasestorage.googleapis.com:443/v0/b/us-videos-staging/o/original%2F1MnHSQs8OBi5VrXXKymL.mp4?alt=media&token=20bb5b75-624e-40ec-90e4-48fbec1fa1f4
2PKBtlxdPUCgIlD3Rbff,https://firebasestorage.googleapis.com:443/v0/b/onform-ml-data-staging/o/apple-pose-data%2F2PKBtlxdPUCgIlD3Rbff.json?alt=media&token=fb383213-da50-4492-8e16-2b712a42e8dc,https://firebasestorage.googleapis.com:443/v0/b/us-videos-staging/o/original%2F2PKBtlxdPUCgIlD3Rbff.mp4?alt=media&token=73c788e8-9935-4c6a-bc41-7f23a0da4fa5
2VCcYlDHSgPrz1EWGQ2t,https://firebasestorage.googleapis.com:443/v0/b/onform-ml-data-staging/o/apple-pose-data%2F2VCcYlDHSgPrz1EWGQ2t.json?alt=media&token=1218ae40-242a-4c9c-ac00-ae69b20cc588,https://firebasestorage.googleapis.com:443/v0/b/us-videos-staging/o/original%2F2VCcYlDHSgPrz1EWGQ2t.mp4?alt=media&token=590f1d40-d1de-4c22-9af3-a491da1af467
3PJcICiaCosDOdKcXplP,https://firebasestorage.googleapis.com:443/v0/b/onform-ml-data-staging/o/apple-pose-data%2F3PJcICiaCosDOdKcXplP.json?alt=media&token=050759f3-9606-48f1-8f11-bfb55e20c3e8,https://firebasestorage.googleapis.com:443/v0/b/us-videos-staging/o/original%2F3PJcICiaCosDOdKcXplP.mp4?alt=media&token=1c9ac138-b6b1-4715-b19c-4fb931f12478
3wuIJV4OR6JdoRvDhsYE,https://firebasestorage.googleapis.com:443/v0/b/onform-ml-data-staging/o/apple-pose-data%2F3wuIJV4OR6JdoRvDhsYE.json?alt=media&token=59a2572e-db58-49d5-a71b-b0cd12530ff4,https://firebasestorage.googleapis.com/v0/b/us-videos-staging/o/original%2F3wuIJV4OR6JdoRvDhsYE.mp4?alt=media&token=240176f9-4738-4989-be9e-5166ad59c528
45JRO3bdBZGVl3oJl2m7,https://firebasestorage.googleapis.com:443/v0/b/onform-ml-data-staging/o/apple-pose-data%2F45JRO3bdBZGVl3oJl2m7.json?alt=media&token=e65081e9-f92d-4e2a-9799-fc11de494863,https://firebasestorage.googleapis.com:443/v0/b/us-videos-staging/o/original%2F45JRO3bdBZGVl3oJl2m7.mp4?alt=media&token=af7ab6fe-8f81-4b8d-8c6a-2855bf46af2f
4hb167cTpUrqSy4gyPy6,https://firebasestorage.googleapis.com:443/v0/b/onform-ml-data-staging/o/apple-pose-data%2F4hb167cTpUrqSy4gyPy6.json?alt=media&token=a4360406-af27-465f-98f1-6aecd47b2076,https://firebasestorage.googleapis.com/v0/b/us-videos-staging/o/original%2F4hb167cTpUrqSy4gyPy6.mp4?alt=media&token=ca339dbb-cbc4-43dd-b0ca-0822206d073e
